ELEV	LAT	LON
abjose pa'in	33.8511	68.8725
abjosh-e bala	33.8486	68.8311
abjosh-e pa'in	33.8511	68.8725
abjush-e bala	33.8486	68.8311
abjush-e pa'in	33.8511	68.8725
abkhana	34.1827	63.185
abkhanah	34.1827	63.185
ab khanah	31.9734	64.9584
ab khaneh	34.1827	63.185
abkhaneh	34.3483	68.6767
ab khel	33.3678	70.0669
abkheng	33.9651	63.2304
abkho	33.1075	67.4273
ab khoda'i	34.8841	62.744
abkhor	35.8612	66.567
ab khowrak	35.5035	67.7606
ab khuda`i	34.8841	62.744
abkhvor	34.8097	63.7915
ab khvorak	35.8313	68.4081
ab khvorak-e bala	35.4985	67.7433
ab khvorak-e pa'in	35.5035	67.7606
ab khwarah	33.599	63.6484
ab kolok	37.0597	66.0433
abkul'	35.8815	68.9966
ab kuluk	37.0528	66.0391
ablah-e miranza'i	35.0514	63.2966
ablan	34.1633	62.8158
abma`in	33.8426	63.371
ab mazar	33.3435	63.7647
ab naray	33.8661	68.6222
aboka	34.245	66.912
abo kala	31.6225	67.2291
abol	34.2317	65.3688
aboli	34.2595	66.0716
abolkheyl	34.3658	68.8397
abo tanga	34.5689	70.8931
abowl	34.2317	65.3688
abowzi	31.5766	66.5693
abozai	30.1378	66.0043
abpar	34.9659	67.865
abparan	34.1939	66.8739
abparan	33.3493	64.6565
abparan	34.0098	65.3338
abparan	34.2069	69.2515
abparan	33.0786	66.7889
abparan-e bala	34.2069	69.2515
abparan-e pa'in	34.2238	69.2328
abpartaw	35.7547	66.6362
abparu	34.4531	66.181
abpay	34.2744	68.1258
abpuda	34.7553	63.6881
ab qol	35.8815	68.9966
abqol	34.0464	66.7764
ab qowl	35.8815	68.9966
abqowl	34.0464	66.7764
abragal	35.1456	71.3607
abrahamgul kalay	33.2754	69.7995
abrahgah	34.2755	67.1656
abrak	34.3949	66.6818
abrakhamgul'-kalay	33.2754	69.7995
abrava	34.2567	64.0463
abrawa	34.2567	64.0463
abraw	36.4021	69.3658
ab raygak	34.5875	66.3596
abrayjan	35.2448	64.0346
ab rayzi	34.2685	63.2151
abrejan	35.2448	64.0346
abr-e kalo	33.9139	66.6322
abreshminkheyl'	32.8794	68.1348
abrez	34.4064	65.4339
abrezi	34.2685	63.2151
abrigak	34.5875	66.3596
abrishamin khel	32.8794	68.1348
ab rizi	34.2685	63.2151
abrosan	33.1265	67.3402
abrow	36.3891	69.3523
abrowah	34.2567	64.0463
abroweh	34.2567	64.0463
ab rowshan	33.1265	67.3402
ab sakhak	37.3554	69.9352
absara	34.5617	64.0815
absar	35.1936	63.0248
ab sarina	36.0644	68.9595
absarina	36.7868	69.373
ab sarinah	36.0644	68.9595
absar-teba	34.4686	69.1136
absekan	34.1359	63.7366
absekane bala	34.1328	63.7457
abshaday	33.0458	62.1823
ab shakhak	37.3554	69.9352
abshara	34.5617	64.0815
abshar	35.1936	63.0248
absharah	34.5617	64.0815
abshareh	34.1922	63.4142
abshar tappeh	34.4686	69.1136
abshekan	34.1359	63.7366
abshekan-e bala	34.1328	63.7457
abshikan	34.1359	63.7366
abshikan-e bala	34.1328	63.7457
ab shorah	35.1936	63.0248
absiti	37.1533	70.5154
ab sora	35.1936	63.0248
absorkh	34.1946	63.6257
ab sulakh	32.5051	62.0614
abtak	33.47	65.58
abtay	33.5609	64.3213
abtu	34.4714	66.9727
abtugak	34.3883	67.2161
abu chan	31.6225	67.2291
abuka	34.245	66.912
abu kala	31.6225	67.2291
abul	34.2317	65.3688
abulhasan	32.0219	65.0431
abuli	34.2595	66.0716
abul'khasan	32.0219	65.0431
abul khel	32.3115	67.6085
abu ol hasan	32.0219	65.0431
abutanga	34.5689	70.8931
abzi khoda'i	34.8876	63.068
ab zumc	37.5406	70.539
aca	36.9551	69.5524
acabazar	34.3957	66.2329
acagal	35.1441	71.3964
acakhel	34.3192	68.7008
acakza`i	35.4942	63.3781
acakzo soznay	31.9042	65.7601
acal	34.8474	71.0513
acalak bandeh	35.0469	70.9872
acama	35.4447	69.6992
acamazar	34.0886	66.8233
acani	34.2861	66.9319
acanu	35.0974	70.7011
acarkhel	33.1381	69.5054
aceka	32.4735	67.1904
acek	35.8172	64.1911
acekza'i	34.7481	70.1177
acekzi	31.5467	65.2985
aceska	35.1518	63.0588
acha	36.9551	69.5524
achabazar	34.3957	66.2329
achagal'	35.1441	71.3964
achah	36.9551	69.5524
achah bazar	34.3957	66.2329
achah khel	34.3192	68.7008
achahmazar	34.0886	66.8233
achah mily	36.1139	66.9758
achahnu	35.0974	70.7011
achakhel	34.3192	68.7008
achakza`i	35.4942	63.3781
achakzusoznay	31.9042	65.7601
achal	34.8474	71.0513
achalak bandah	35.0469	70.9872
achama	35.4447	69.6992
achamazar	34.0886	66.8233
acha mily	36.1139	66.9758
achani	34.2861	66.9319
achanu	35.0974	70.7011
acharkheyl'	33.3194	69.8349
achehbazar	34.3957	66.2329
achek	35.8172	64.1911
acheshka	35.1518	63.0588
achika	32.4735	67.1904
achik	35.8172	64.1911
achikzai	34.7481	70.1177
achikzi	31.5467	65.2985
achin	34.0825	70.6682
achishkah	35.1518	63.0588
achu	33.0577	67.9821
acin	34.0825	70.6682
acu	33.0577	67.9821
ada	33.5707	68.7563
adadkhel	34.2636	70.2165
adah	33.5707	68.7563
adahwar bibi shelgar	33.7783	68.8533
adam	32.5927	68.0995
adam ceray	34.7138	69.8147
adamkala	33.5507	68.7955
adam kanda	31.89	67.8572
adamkhakalay	32.8068	69.2876
adam khan	35.2581	63.5688
adamkhan kalay	32.221	66.1645
adam khan kelay	32.221	66.1645
adamkhel	33.7006	68.2031
adamkhel	34.4256	70.3075
adamkhel	34.0722	68.5228
adamkheyl'	33.7006	68.2031
adamkheyl	34.4256	70.3075
adamkheyl	34.0722	68.5228
adam kheyl	32.7487	66.9796
adam kodali	32.9587	68.6476
adam tash	36.1105	67.3046
adam tseray	34.7138	69.8147
adamwak	35.2026	71.0515
adamza'i	31.4853	65.5289
`adasak	33.4942	65.2261
adavar	33.7783	68.8533
aday	30.7496	61.8296
adchat tantil	34.9689	70.9667
adekhota	32.6886	68.6439
'adela	33.1114	66.7256
`adel	34.7814	68.5656
`adelah	33.1114	66.7256
adem tamu	32.3532	66.3602
adenkhel	33.4484	69.0675
aderellah kalay	35.1419	71.3314
ade saheb	34.4073	70.8611
adgala	33.0048	69.4086
adi	30.7556	61.8245
adih nazrow	36.3775	66.1855
adil'	34.7814	68.5656
`adilah	33.1114	66.7256
adimtamu	32.3532	66.3602
adina	32.3921	65.2087
adin	33.255	68.469
adinah	32.3921	65.2087
adinah jar	36.3833	66.15
adinah khel	34.8869	69.8328
adinah masjid	36.8939	66.7014
adinakhel	34.8869	69.8328
adinamasdzhid	36.8939	66.7014
adinchina	31.7928	67.8695
adinehkheyl	34.8869	69.8328
adini	33.0842	68.2875
adinkala	32.8278	68.5622
adin kalay	32.8805	66.0692
adinkhel	33.5552	67.2644
adinkheyl	33.5552	67.2644
adin kheyl	32.5952	68.038
adinkheyl'	33.4484	69.0675
adinkheyl	34.8034	69.3542
adinzai	31.8628	64.6681
adipas	36.1143	70.0178
adira	31.6797	65.6033
adirah	31.6797	65.6033
adire kalay	32.8463	67.2824
adirilla-kalay	35.1419	71.3314
adi sana-i-wazbi	35.0403	63.0476
adiza'i	34.8845	69.6578
adnyal	37.5136	70.4466
ado	32.1098	67.1226
ado kalay	32.3181	65.5937
ado khel	34.68	70.1597
ador	34.2692	70.2777
adorunta khwara	35.2796	71.3623
adoso	35.1753	70.2091
adowr	34.2692	70.2777
adowzay	31.5522	67.2006
adowzi	30.9592	66.3283
adozai	31.5522	67.2006
adozi	30.9592	66.3283
adramzai	36.7167	66.8111
adraskan	33.6457	62.2696
adreskhel	33.0293	68.2885
adring	36.0917	66.0642
adriskan	33.6457	62.2696
adris khel	33.0293	68.2885
adro kala	33.4419	68.3
adrokhel	33.2517	68.3881
adrukala	33.4419	68.3
adu	32.1098	67.1226
adukalay	32.3181	65.5937
adukheyl	34.68	70.1597
adulai	31.6914	67.5775
adurunte-khvara	35.2796	71.3623
adusu	35.1753	70.2091
aduza`i	32.5518	65.3924
adval'	34.8563	71.0614
adzhabshagi	34.8392	71.2488
adzhal'	36.7769	69.1648
adzhar	34.0499	67.3359
adzhida	34.0277	67.3911
adzhigan	37.1569	68.8522
adzhrum	32.1944	64.0558
afaki	36.6617	69.351
afaqi	37.2036	70.4249
afdzal	34.7728	61.9503
afdzal kala	33.1203	69.4855
afdzal kalay	30.9772	66.2594
afdzal khel	32.8274	67.8431
afdzalkhel	34.1131	68.5081
afgani-doshi	35.6256	68.6886
afgankha	36.6955	69.5857
afgan'ya	34.9596	69.6186
afghan-e doshi	35.6256	68.6886
afghanha	36.6955	69.5857
afghania	36.1167	66.25
afghani	31.9473	64.8842
afghaniah	34.9596	69.6186
afghaniyah	36.1167	66.25
afghan kot	35.9131	64.7866
afghan tapah	36.5315	65.7983
afghanya	34.9596	69.6186
afrij	37.0204	71.026
afsare bala	34.5371	69.1101
afsare nanaci	34.5291	69.1119
afsay	35.7701	71.3547
afshar	34.5291	69.1119
afshar-e bala	34.5371	69.1101
afshar-e darulaman	34.4686	69.1136
afshar-e nanachi	34.5291	69.1119
afshari-bala	34.5371	69.1101
afshari-nanachi	34.5291	69.1119
aftabachi	35.0862	69.3402
aftab lagh	37.1701	69.0814
aftadah kelay	32.637	62.0022
aftada kalay	32.6333	61.9833
aftadakalay	32.637	62.0022
aftu	34.4947	66.5165
aftualab	34.8842	62.0956
afzai khan	36.4566	65.8088
afzal	34.7728	61.9503
afzal'kala	33.1203	69.4855
afzal'kalay	30.9772	66.2594
afzal khel	32.8274	67.8431
afzal kheyl	32.8274	67.8431
afzal'kheyl'	34.1131	68.5081
afzal'kheyl'	33.6626	69.3314
afzal'kheyl'	33.1885	69.5509
aga-akhmed	32.3206	65.0091
aga burut	34.8295	62.5226
agadzham	34.1982	67.9485
agadzhan	32.7357	66.2163
ag	34.355	67.457
agagul'kalay	32.6738	69.1262
agakalay	31.7845	66.9103
agakarez	31.9707	66.1751
agakheylu-kalay	31.5767	64.8524
agakuru	37.1595	69.7682
agali-khodzha	34.6844	69.058
agali-sheykhu	34.6786	69.0269
agam	34.2001	70.2781
aga-mukhammedbay	36.5611	66.6458
agamukhammed-kalay	30.8708	66.2561
agar	33.4575	68.1877
aga saheb kalay	32.3857	66.7873
agasi	35.4217	71.3671
agayri	35.7192	69.3582
ag chah	36.922	66.1765
agej	33.6079	63.4003
agelak	34.8931	69.0983
ageli-kaka	32.9296	67.5265
ageli-khan	35.2185	69.2154
ageli-mulla	32.9338	67.5209
ageli-torta	34.6548	68.2402
ageri	35.7192	69.3582
agha ahmad	32.3206	65.0091
agha burut	34.8295	62.5226
aghagol kalay	32.6738	69.1262
aghajam	34.1982	67.9485
agha jan	31.8499	66.3391
agha karez	31.9707	66.1751
agha khan	33.5896	64.266
aghakhelo kalay	31.5767	64.8524
aghale khwaja	34.6844	69.058
aghale saykhu	34.6786	69.0269
agha mohammad	35.2094	63.8585
agha mohammad khan	35.2649	61.315
agha mohammad nurkhan	31.1961	61.8375
agha mohammed bai	36.5611	66.6458
agha mohd-nurkhan	31.1961	61.8375
agha muhammad	35.2094	63.8585
agha muhammad bay	36.5611	66.6458
agha muhammad kala	32.8694	67.4986
agha muhammad kelay	31.9138	66.5532
agha muhammad  nur khan	31.1961	61.8375
aghar	34.1197	68.7392
agha sahib kelay	32.3857	66.7873
aghaylak	34.8931	69.0983
aghela khan	35.2185	69.2154
agheldeh	33.3174	67.4832
aghel-e kaka	32.9296	67.5265
aghel-e khan	35.2185	69.2154
aghel-e khvajeh	34.6844	69.058
aghel-e mawla	33.2284	67.4568
