ELEV	LAT	LON
ghurayfah	25.125	56.3538
girath	25.2609	56.3543
habhab	25.6156	56.0044
hadaibah	25.7977	55.9803
hadhi	23.1064	53.9953
hail	25.2855	55.3296
haira	25.3815	55.4196
hajarain	24.799	56.1154
hama'im	22.958	54.2972
hamra	25.7091	55.8077
hamriya	25.4782	55.5338
harra	24.9904	56.2167
hayrah	25.3815	55.4196
hil	25.705	55.987
hili	24.2847	55.7633
hisn diba	25.6195	56.2729
hiweitein	23.119	53.9284
hiyawa	25.3604	56.3477
howeilat	24.8766	56.1737
humaym	22.958	54.2972
husn dibba	25.6195	56.2729
huwaila	23.152	53.8246
huwaitin	23.119	53.9284
huweilah	23.152	53.8246
idhn	25.4601	56.0126
ihaid	25.2881	55.8816
istaihah	23.3161	54.0672
jareef	25.5142	56.0719
jarmada	23.1196	53.8286
je`eisah	22.9941	54.2218
jeraira	22.9408	54.3102
jimeirah	25.2048	55.2466
jimi	24.2491	55.7458
juhr	24.25	55.58
julfa	25.7895	55.9432
jumairah	25.2048	55.2466
kalbah	25.0746	56.3554
kayya	23.157	53.6854
khaimah	25.7895	55.9432
khalaibiyah	25.3812	56.1736
khan	25.3314	55.359
khauran	25.7162	55.9678
khawr al fakkan	25.3313	56.342
khawr al kalba	25.0384	56.3626
khawran	25.7162	55.9678
khawr mala	25.8013	56.3511
khawr za`ab	25.0384	56.3626
khor al fakhan	25.3313	56.342
khor al kalba	25.0384	56.3626
khorfakan	25.3313	56.342
khor kalba	25.0384	56.3626
khor khuwair	25.9658	56.0547
khouran	25.7162	55.9678
khubakhib	25.452	56.0938
khuwair	25.9658	56.0547
kuways	25.781	55.9787
laiyah	25.354	55.3719
latir	23.1626	53.7362
lisaili	25.6268	56.0081
lulaiyah	25.3926	56.3546
lumweijah	24.2017	55.7164
ma'airidh	25.8105	55.9647
ma'ataradh	24.219	55.7399
madaq	25.3391	56.1049
madha	25.2834	56.3328
madinat za'id	23.6307	53.7299
magrobiyya	25.2	56
mahtarraqah	25.5409	56.1307
maidaq	25.3391	56.1049
manai'i	24.9513	56.15
manamah	25.3299	56.0219
manqasnah	26.035	56.148
marawah	24.2946	53.3307
marbad	25.3254	56.1331
marbah	25.2762	56.3626
ma`rid	25.8105	55.9647
mas`adi	24.2663	55.7412
mashrub	23.0765	54.0135
mas'ud	24.2663	55.7412
mausal	23.0135	54.1545
ma`yarid	25.8105	55.9647
mezaira'a	23.1435	53.7881
milqata	23.0667	53.5333
mirba	25.2762	56.3626
mirfah	24.0991	53.4908
mizeir`ah	23.1435	53.7881
mondafanah	24.1167	55.8
mozayri`	23.1435	53.7881
muaifi	25.3617	56.3447
mughairah	24.0784	53.5384
muhtarqah	25.5409	56.1307
mundafnah	24.1167	55.8
murawwah	24.2946	53.3307
musafi	25.3013	56.1653
mushayrib	23.0765	54.0135
musil	23.0135	54.1545
mutaradh	24.219	55.7399
muwafi	25.3617	56.3447
nadd shubayh	25.1458	55.3342
nahai	25.2707	56.3624
nahawa	25.2682	56.28
nashshash	23.0811	54.0364
naslah	24.8659	56.2609
nedaifi	25.3617	56.3447
nefair	23.1039	53.7892
nishash	23.0811	54.0364
nuslah	24.8659	56.2609
'odaid	24.6167	51.4
palhain	25.6841	55.9675
port khor fakkan	25.3313	56.342
qalba	25.0746	56.3554
qamh	24.7867	56.1414
qaraiyah	25.2378	56.3613
qarat ad dulm	25.8603	56.025
qarmadah	23.1196	53.8286
qatarah	24.2599	55.7557
qatuf	23.1097	53.7274
qidfa	25.3043	56.3703
qima	24.7867	56.1414
quor	24.9121	56.0957
qurayyah	25.2378	56.3613
qusaidat	25.7746	55.97
qutuf	23.1026	53.7116
ramla	25.3598	56.0445
raml sabil	25.2041	55.2875
rams	25.8766	56.0186
ras al khaimah	25.7895	55.9432
ras dibba	25.6055	56.305
rashdia	25.2236	55.3889
righeilat	25.1055	56.3563
riyama	25.5456	56.0584
rol dadnah	25.5548	56.3455
rugheilat	25.1055	56.3563
rul dabbah	25.6011	56.3228
rul dadnah	25.5548	56.3455
rul dibah	25.6011	56.3228
ruwais	24.1103	52.7306
sa`bah	24.9942	56.025
sabakha	23.3	53.8
sabkha	23.1292	53.9818
sahawat	25.9667	56.0833
sakamkam	25.1747	56.3304
sal	25.9367	56.1722
shaam	26.0279	56.0835
sharam	25.4708	56.3532
sharga	25.3573	55.4033
shauka	25.1	56
shib al gat	24.0528	55.7197
shimil	25.8178	56.0109
shokah	25.1	56
